KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
523847343,0,,,1068,503,565,143,78,65,922,423,499,610,302,308,876,395,481,312,121,191,148,57,91,14,2,12,460,460,176,116,74,55,20,15,4,276,217,59,43,233,7,90,40
523847344,0,,,463,213,250,42,23,19,415,184,231,251,116,135,403,178,225,164,68,96,88,32,56,4,3,1,232,231,116,58,22,23,7,4,1,111,87,24,13,121,23,57,27
523847351,0,,,702,269,433,47,24,23,621,231,390,458,163,295,596,219,377,163,68,95,78,28,50,6,0,6,438,437,308,59,31,25,11,2,1,122,97,25,10,119,160,55,16
523847352,0,,,119,54,65,6,3,3,113,51,62,66,29,37,106,46,60,47,22,25,25,10,15,0,0,0,39,39,7,13,5,7,1,4,2,32,18,14,1,32,1,4,6
523847353,0,,,1185,524,661,120,68,52,1042,441,601,684,305,379,989,413,576,358,136,222,190,59,131,10,2,8,574,572,301,125,75,49,17,3,2,267,228,39,31,188,128,61,51
523847354,0,,,460,233,227,73,41,32,384,190,194,277,141,136,359,173,186,107,49,58,47,17,30,3,2,1,165,165,35,49,33,23,17,6,2,129,103,26,17,73,7,16,19
523847361,0,,,407,200,207,47,27,20,360,173,187,221,108,113,346,164,182,139,65,74,50,20,30,3,1,2,151,151,30,52,30,21,11,5,2,121,97,24,8,93,1,21,26
523847362,1,,523847371;523847373;523847374,74,42,32,11,5,6,76,40,36,53,29,24,74,38,36,23,11,12,11,3,8,0,0,0,27,27,7,10,5,7,2,0,1,25,20,5,2,17,0,5,4
523847363,0,,,708,332,376,78,40,38,628,290,338,424,201,223,602,277,325,204,89,115,72,22,50,5,5,0,277,277,55,102,61,38,13,7,1,217,183,34,23,145,3,30,43
523847364,0,,,302,148,154,28,17,11,274,131,143,162,80,82,261,126,135,112,51,61,53,23,30,1,0,1,117,117,22,45,27,15,2,3,3,94,75,19,7,74,0,15,24
523847371,2,523847362,,7,1,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
523847373,2,523847362,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
523847374,2,523847362,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
523847382,1,,523847383;523847384,2,1,1,8,6,2,28,13,15,18,8,10,28,13,15,10,5,5,4,1,3,0,0,0,1,1,2,1,0,2,2,1,1,7,3,4,2,7,0,2,1
523847383,2,523847382,,15,8,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
523847384,2,523847382,,19,10,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
